Position,MAN City (Team 1),Inter Milan (Team 2),Team 1 (matches_played),Team 2 (matches_played),Team 1 (Mins Played),Team 2 (Mins Played,Team 1 (Goals),Team 2 (Goals),Team 1 (Assists),Team 2 (Assists),Team 1 (No. of attempts),Team 2 (No. of attempts),Team 1 (Attempts_onTarget),Team 2 (Attempts_onTarget),Team 1 (Tackles),Team 2 (Tackles),Team 1 (Tackles_won),Team 2 (Tackles_won),Team 1 (Balls Recovered),Team 2 (Balls Recovered),Team 1 (Number_of_saves),Team 2 (Number_of_saves),Team 1 (clean_sheets),Team 2 (clean_sheets),Team 1 (Top_speed (km/hr)),Team 2 (Top_speed (km/hr),Team 1 (passing accuracy),Team 2 (passing accuracy),Result
3,Cole Palmer*,Marcelo Brozovi?,4,8,137,456,0,0,0,0,4,3,1,0,2,9,1,6,3,37,0,0,0,0,30.7,31,76.5,90.38,0
3,Cole Palmer*,Valentin Carboni*,4,1,137,14,0,0,0,0,4,0,1,0,2,0,1,0,3,0,0,0,0,0,30.7,26.6,76.5,50,1
3,Phil Foden,Roberto Gagliardini,7,6,327,112,1,0,2,0,8,1,4,1,2,3,0,0,5,7,0,0,0,0,32.6,30,85.72,93.17,0
3,Phil Foden,Robin Gosens,7,10,327,404,1,1,2,0,8,3,4,3,2,17,0,10,5,15,0,0,0,0,32.6,32.3,85.72,74.7,0
3,Phil Foden,Kristjan Asllani,7,5,327,125,1,0,2,0,8,1,4,1,2,1,0,0,5,6,0,0,0,0,32.6,29.9,85.72,70.8,0
3,Phil Foden,Hakan Çalhano?lu,7,11,327,723,1,1,2,2,8,12,4,4,2,15,0,4,5,40,0,0,0,0,32.6,32,85.72,90.19,0
3,Phil Foden,Henrikh Mkhitaryan,7,12,327,903,1,2,2,0,8,15,4,8,2,14,0,5,5,48,0,0,0,0,32.6,32.5,85.72,84.17,0
3,Phil Foden,Nicolò Barella,7,11,327,907,1,3,2,0,8,17,4,5,2,16,0,8,5,32,0,0,0,0,32.6,33.71,85.72,79.91,0
3,Phil Foden,Marcelo Brozovi?,7,8,327,456,1,0,2,0,8,3,4,0,2,9,0,6,5,37,0,0,0,0,32.6,31,85.72,90.38,1
3,Phil Foden,Valentin Carboni*,7,1,327,14,1,0,2,0,8,0,4,0,2,0,0,0,5,0,0,0,0,0,32.6,26.6,85.72,50,1
3,Riyad Mahrez,Roberto Gagliardini,9,6,506,112,3,0,2,0,12,1,7,1,2,3,0,0,5,7,0,0,0,0,31.4,30,86,93.17,1
